Angielski,Polski,Frequency,BadlyAnswer,PerfectScore
awareness factor of,współczynnik świadomości,14,0,0
laborer,laborer,15,0,0
affordability,przystępność,12,3,0
dense layer,gęsta warstwa,14,0,0
threshold,próg,14,1,0
impurity,zanieczyszczenie,14,1,0
uncertainty,niepewność,14,0,0
quantify,określić ilościowo,14,0,0
traverses,podróż przez,12,3,0
backtrack,wracać,14,0,0
greedy search,chciwe wyszukiwanie,14,0,0
dentist,dentysta,14,0,0
made me,uczynił mnie,15,2,0
it didn't stop,to się nie skończyło,14,0,0
miserably,marnie,14,1,0
tie all this,tie all this,14,0,0
star-struck,"wdzięczny, okazanie szacunku komuś",12,3,0
foreshadowing,foreshadowing,14,0,0
variety,różnorodność,14,1,0
parlance,mowa,12,8,0
perhaps,być może,14,0,0
jagged,szczerbaty,12,6,1
rectangular,prostokątny,14,1,0
vast majority,zdecydowana większość,14,1,0
entirely,całkowicie,15,1,0
overall rating,ogólna ocena,14,0,0
elementwise,żywiołowo,12,6,1
endless,nieskończony,14,0,0
diameter,średnica,14,1,0
crowd gathered,zebrał się tłum,14,0,0
performance was announced,występ został ogłoszony,14,0,0
spring evening,wiosenny wieczór,14,1,0
light dimmed,przyciemnione światło,14,0,0
hush fell over,zapadła cisza,15,1,0
theatregoer,bywalec teatralny,11,1,1
dreads,"strach, lęk",12,2,1
understudy,dubler,12,6,1
throughout,poprzez,14,0,0
faint applause,słabe brawa,14,0,0
fell ill,czuć się chorym,14,0,0
elderly,starsi,15,2,0
shivering,dreszcze,12,6,0
looked anxious,wyglądał na zaniepokojonego,14,0,0
persisted,utrzymywał się,14,1,0
waitress,kelnerka,14,0,0
awkwardly,niezgrabnie,22,4,1
honey,kochanie,14,0,0
genuine,prawdziwy,19,7,0
cautious,ostrożny,20,7,1
trustworthy,godne zaufania,20,1,0
moody,kapryśny,25,3,0
stomach,brzuch,14,0,0
amusement,rozrywka,14,6,1
interference with,koliduje z,12,2,1
carelessness,nieostrożność,12,4,1
consciousness,świadomość,14,0,0
embarrassment,zakłopotanie,23,4,0
retirement,emerytura,12,2,1
commit,popełniać,14,1,0
embarrassed,zakłopotany,20,1,0
non-refundable,nie refundowane,15,7,1
scared out of my wits,wywołać u kogoś strach,14,0,0
negotiable,do negocjacji,16,1,1
turn sb's stomach,spowodowanie u kogoś złego samopoczucia,15,2,0
rural,wiejski,29,1,0
cured,leczony,14,0,0
deterrent,odstraszający,15,2,0
outrageous,skandaliczny,17,3,1
unethical,nieetyczny,29,0,0
insult,znieważenie,14,0,0
dispose,dysponować,14,0,0
equip,wyposażyć,14,0,0
pollute,zanieczyszczać,15,1,0
shout,krzyczeć,12,2,1
rural areas,obszary wiejskie,12,2,1
once bitten,raz ugryziony,15,2,0
"once bitten, twice shy","do kogoś, gdy robisz coś ponownie(pierwszy raz złe doświadczenie)",15,3,0
what goes around comes around,"jak ty komu, tak on tobie",14,0,0
"nothing ventured, nothing gained","musisz zaryzykować, aby coś zyskać",14,1,0
every cloud has a silver lining,"każda trudna sytuacja, ma jakaś zalete",14,0,0
when in Rome do as the Romans do,"gdy kogoś odwiedzamy, przestrzegamy reguł",14,0,0
poignant,wzruszający,26,2,0
incredible,niesamowity,14,0,0
hilarious,zabawny,15,2,0
gazed,patrzył,14,0,0
signed,podpisany,14,1,0
whispered,szeptał,12,4,1
crawl,czołgać się,12,5,1
wander,wędrować,15,1,0
yawned,ziewnął,14,0,0
taken up by,podjęte przez,14,0,0
settled down,ustatkował się,15,1,0
ran out,zabrakło,12,4,0
set up,ustawiać,15,1,0
taken on,podjęte,12,3,1
drop out,wycofać się,14,0,0
went on,poszło dalej,14,1,0
went by,minął,14,0,0
blockbusters,hity,11,4,1
burn down,"spalić, przygasać",14,0,0
calm down,uspokoić się,12,3,1
close down,zamknąć,14,2,0
cool down,ochłonąć,14,0,0
slow down a bit,zwolnij trochę,14,0,0
come down with,zejść z,12,6,0
cut down on something,ograniczyć coś,11,2,1
let down,rozczarowanie,12,6,0
look down on,patrzeć z góry,15,2,0
turn down,wyłącz,14,0,0
put down,położyć,11,5,0
get down to,zabrać się do,15,2,0
deep down,głęboko,14,0,0
up and down,w górę i w dół,14,0,0
look up to,szanować,12,4,0
tweet,ćwierkać,12,3,1
winds me up,nakręca mnie,14,0,0
switched off,wyłączony,15,1,0
delightful,zachwycający,14,0,0
superb,wspaniały,15,2,0
headed for,zmierzał do,14,0,0
treatment,leczenie,21,1,1
sunrise,wschód słońca,14,0,0
socialise,uspołecznić,15,1,0
shadowing,sledzenie,15,1,0
overcoming,przezwyciężenie,14,0,0
non-judgmental,nieoceniający,14,0,0
my stomach turn,przyprawia o mdłości,15,1,0
more time on my hands,więcej wolnego czasu,14,0,0
keep himself to himself,spędzać czas samemu,14,0,0
felt scared out of my wits,czuć się przestraszonym,15,1,0
endeavour,dążyć,12,2,1
down-to-earth,"przyziemny, praktyczny",14,9,1
digging,kopanie,14,0,0
calmness,spokój,12,2,1
be over the moon,być zadowolonym,25,0,1
perturb,zaburzyć,12,3,1
intercalary,"przestępny, wstawiony",12,4,0
dense,gęsty,11,1,1
vanishing point,znikający punkt,14,0,0
dropout,spadkowicz,15,1,0
demystify,wyjaśnić,12,4,1
overall,ogólnie,14,0,0
desired,pożądany,15,3,0
humidity,wilgotność,12,4,1
referred,o których mowa,12,5,0
imminent,nadciągający,12,2,1
deemed,uznany,12,5,1
interconnectivity,wzajemna łączność,12,3,1
outperform,przewyższają,14,1,0
offset,zrównoważyć,12,5,0
offsetting,kompensacja,12,3,1
knobs on doors,gałki na drzwiach,14,0,0
downward,zniżkowy,12,4,1
conveyed,przekazany,14,1,0
rectified linear,rektyfikowany liniowy,14,0,0
deception,oszustwo,15,2,0
transposes,transponuje,14,0,0
depicts,przedstawia,12,4,1
withheld,wstrzymane,12,2,1
disservice,niedźwiedzia przysługa,14,0,0
tunable,przestrajalny,12,5,0
tunables,strojenie,14,0,0
all together,wszyscy razem,14,0,0
to aid in,pomóc w,15,2,0
interchange,wymieniać,14,0,0
brackets,nawiasy,14,0,0
homologous,"odpowiedni, pokrewny",12,3,1
ensued,nastąpiło,12,4,1
sheer,zwykły,12,2,1
rudimentary-sounding,szczątkowo-brzmiące,14,0,0
not-too-distant,niezbyt odległy,14,2,0
method treats,metoda traktuje,14,0,0
datum,fakt,12,4,1
fitment,montaż,14,0,0
elaborate,wyszukany,12,3,0
encase,obramować,12,5,0
depiction of,przedstawienie,15,2,0
convicent,przekonujący,15,2,0
trace from,ślad z,14,0,0
assessing,ocenianie,12,3,1
granular,ziarnisty,14,1,0
rectified,sprostowane,12,3,1
depict,przedstawiać,14,0,0
hand-tune,dostroić ręcznie,14,0,0
densely,gęsto,14,0,0
impacted,wpływ,14,0,0
fitment type,typ wyposażenia,15,1,0
diverges,rozbieżne,14,0,0
overarching,nadrzędny,12,3,1
overarching goal,nadrzędny cel,14,2,0
daunting task,trudne zadanie,14,0,0
dauntingly,zniechęcająco,14,1,0
wreak havoc,siać spustoszenie,14,1,0
remedy,zaradzić,15,1,0
Table of Contents,spis treści,14,0,0
it assumes,to zakłada,14,0,0
entices,przekonanie kogoś za coś przyjemnego,12,3,1
dichotomous,dychotomiczny,14,1,0
dichotomy,różnica pomiędzy dwoma róznymi pomysłami,12,3,1
diverge,odchodzić,15,2,0
to abide,trwać,14,0,0
grasping power,chwytając moc,14,0,0
grasping,chwytający,14,0,0
grasping at straws,chwytać się brzytwy,14,0,0
utility,"usługa, z której ogólnie dostepna",12,4,1
play around with sth,próbowanie użyć różne metody,14,0,0
go-to,używane do opisania najlepszej rzeczy,12,2,1
violated,naruszone,15,1,0
oral hygiene,higiena jamy ustnej,14,0,0
for a fixed,dla ustalonej,14,0,0
ran into it,wpadłem na to,14,0,0
boundedness of,granica,15,1,0
isolate,izolować,14,0,0
the ridge,Grzbiet,15,2,0
derive our,czerpać nasze,12,6,0
plug-in,"mały program, który przyśpiesza prace",12,4,0
dictate,dyktować,14,0,0
emphasise,podkreślać,15,2,0
present evidence,obecny dowód,14,0,0
can't afford,nie mogę sobie pozwolić,15,1,0
hence,w związku z tym,12,3,1
one is suffice,jeden wystarczy,12,3,1
perturbation,zamieszanie,14,0,0
traits,cechy,12,3,1
convex functions,funkcje wypukłe,14,0,0
conscientious person,sumienna osoba,14,0,0
I reckon with the fact that,"liczę się z tym, że",14,0,0
gauge,zmierzyć,12,3,1
sergeant,żołnierz lub średnia ranga,12,3,1
solely on,wyłącznie na,14,0,0
overdue,zaległy,12,2,1
gracious,łaskawy,14,0,0
acquainted,obeznany,12,4,0
stumbled upon,natknął się na,12,3,0
laid off,zwolniony,12,3,0
self taught,samoukiem,14,0,0
is dope,jest zajebiste,14,0,0
computer geek,maniak komputerowy,14,0,0
people person,osoba towarzyska,14,0,0
keep yourself to yourself,zamknięty w sobie,15,2,0
good laugh,zabawny,15,2,0
morning person,ranny ptaszek,15,1,0
witty,błyskotliwy,11,2,1
spontaneous,spontaniczny,14,0,0
eccentric,ekscentryczny,15,1,0
flexible,elastyczny,14,0,0
outgoing,otwarty,12,4,0
sympathetic,empatyczny,14,0,0
mean,niemiły,14,0,0
flatmate,sublokator,15,2,0
put pressure on sb,wywierać na kimś presję,14,0,0
be scared out of your wits,śmiertelnie przerażony,14,0,0
make your stomach turn,przyprawiać o mdłości,14,0,0
throw up,wymiotować,12,3,1
fascinated,zafascynowany,14,0,0
shake like a leaf,trząść się jak osika,14,0,0
frustrated,sfrustrowany,14,0,0
impressed,pod wrażeniem,15,1,0
wish the earth would swallow you up,chcieć się zapaść pod ziemię,14,0,0
anxious,zaniepokojony,15,1,0
be relieved,odczuwać ulgę,14,0,0
satisfied,zadowolony,14,0,0
thrilled,zachwycony,12,2,1
disappointed,rozczarowany,15,1,0
disgusting,obrzydliwy,14,0,0
admiring,pełen podziwu,14,0,0
petrified,oniemiały ze strachu,12,5,0
nervous,"zdenerwowany, nerwowy",15,2,0
creative,kreatywny,14,0,0
worried,zmartwiony,14,0,0
angry,rozzłoszczony,15,1,0
embarrassing,wprawiający w zakłopotanie,11,1,1
outside your comfort zone,poza strefą komfortu,14,0,0
get on,robić postępy,12,3,1
have time on your hands,mieć dużo wolnego czasu,14,0,0
dig into your past,grzebać w przeszłości,14,0,0
make an effort,starać się,14,0,0
carry on,kontynuować,15,1,0
stay in touch,pozostać w kontakcie,14,0,0
overcome fears,przełamać strach,14,0,0
frustration,frustracja,14,0,0
fascination,fascynacja,14,0,0
dissapointment,rozczarowanie,14,0,0
creativity,kreatywność,14,0,0
anxiety,niepokój,12,2,1
spontaneity,spontaniczność,14,0,0
awkwardness,skrępowanie,12,3,1
nervousness,nerwowość,14,0,0
anger,złość,11,2,1
worry,zmartwienie,14,0,0
identify,rozpoznać,14,0,0
identification,rozpoznanie,14,0,0
appreciate,"cenić, uznawać",12,3,1
to sign,podpisać,15,1,0
signature,podpis,14,0,0
please sb,sprawiać komuś przyjemność,15,1,0
pleasure,przyjemność,14,0,0
prepare,przygotować,14,0,0
preparation,przygotowanie,15,1,0
prefer,woleć,15,2,0
preference,preferencja,14,0,0
involve,angażować,15,1,0
involvement,zaangażowanie,15,2,0
donate,ofiarować,14,0,0
donation,datek,14,0,0
to mix,mieszać,14,0,0
mixture,mieszanka,15,1,0
refer,"odsyłać, powoływać się",14,0,0
reference,"referencje, odnośnik",12,3,1
react,reagować,14,0,0
reaction,reakcja,15,1,0
develop,rozwijać,19,0,0
development,rozwój,12,2,1
exist,istnieć,14,0,0
defend,bronić,15,1,0
defence,obrona,14,0,0
argue,kłócić się,12,3,1
argument,kłótnia,14,0,0
to treat,traktować,14,0,0
prevention,zapobieganie,11,1,1
to fail,"nie powieść się, oblać",12,2,1
contribution,wkład,12,4,0
interfere,wtrącać się,14,0,0
interference,ingerencja,14,0,0
limited enrolment,ograniczona liczba miejsc,15,1,0
free trial,bezpłatny okres próbny,14,0,0
sign up for,zapisać się na,14,0,0
two-for-one deal,"oferta „dwa w cenie jednego""",15,1,0
deposit,zaliczka,15,1,0
fill in,wypełnić,11,1,1
awesome,fantastyczny,26,2,0
beautiful,piękny,14,0,0
legendary,legendarny,14,0,0
excited,podekscytowany,14,0,0
famous,sławny,14,0,0
fantastic,fantastyczny,14,0,0
magical,magiczny,14,0,0
lucky,szczęśliwy,14,0,0
silent,"cichy, niemy",15,1,0
strong,silny,15,1,0
take sth in,przyswoić coś,14,0,0
be where it's at,brać się z czegoś,14,0,0
the thing to do,modna czynność,15,2,0
take part in,brać udział w,14,0,0
whatever,cokolwiek,14,0,0
and yet,a jednak,14,0,0
paws,łapy,14,0,0
wingwalking,chodzenie po skrzydle samolotu,12,4,1
bungee jumping,skok na bungee,14,0,0
sledding,saneczkarstwo,14,0,0
relief,pomoc,12,3,0
to raise money,zbierać pieniądze,14,0,0
to fund sth,finansować,12,6,0
vulnerable,bezbronny/wrażliwy/podatny na zranienie,12,3,1
fundraising,pozyskiwanie środków,12,3,1
every other year,co drugi rok,11,1,1
a telethon,maraton telewizyjny,12,4,0
to feature,występować/pojawiać się,12,3,1
a tool,narzędzie,15,1,0
to bring out the best in sb,wydobyć z kogoś co najlepsze,15,2,0
eye-opening,otwierający oczy/pouczający,14,0,0
jelly,galaretka,14,0,0
to wave at sb,machać do kogoś,14,0,0
to hoot,trąbić,12,5,0
a corridor,korytarz,14,0,0
unaccustomed,niezwykły,14,0,0
to be unaccustomed to sth,nie być do czegoś przyzwyczajonym,14,0,0
a marathon,maraton,14,0,0
to be worn out,być wykończonym,14,0,0
to burst with energy,tryskać energią,14,0,0
a donation,darowizna/datek,12,2,1
to be anything to go by,stanowić przykład,12,4,1
pollution,zanieczyszczenie,15,1,0
drought,susza,15,2,0
famine,głód/klęska głodu,12,3,1
drunkenness,alkoholizm,15,1,0
drug abuse,nadużywanie narkotyków,14,0,0
a divorce,rozwód,12,3,1
domestic violence,przemoc domowa,14,0,0
a debt,dług,14,0,0
obesity,otyłość,15,1,0
lack of drinking water,brak wody pitnej,12,2,1
homelessness,bezdomność,14,0,0
a flood,powódź,14,0,0
an earthquake,trzęsienie ziemi,14,0,0
a forest fire,pożar lasu,14,0,0
a landslide,osuwisko,12,3,1
a tornado/a twister,trąba powietrzna,14,0,0
a tsunami,tsunami,14,0,0
a volcanic eruption,wybuch wulkanu,14,0,0
political,polityczny,14,0,0
economic,ekonomiczny/gospodarczy,12,3,0
ethical,etyczny,14,0,0
global,globalny/ogólnoświatowy,15,2,0
industrial,przemysłowy,14,0,0
urban,miejski,12,2,1
to decrease,zmniejszyć się/obniżyć się,14,0,0
a decrease,zmniejszanie/spadek,12,3,0
to record,nagrywać/zapisywać/odnotować,12,2,1
a record,rekord/nagranie/zapis,14,0,0
the coldest month on record,najzimniejszy zanotowany miesiąc,14,0,0
to sponsor,sponsorować/wspierać,12,2,1
a sponsor,sponsor,14,0,0
to export,eksportować,14,0,0
export,eksport,14,0,0
to increase,zwiększać się/wzrastać,15,2,0
an increase,wzrost,14,0,0
to permit,pozwalać,12,2,1
a permit,pozwolenie,14,0,0
to appeal,apelować/prosić,15,2,0
an appeal,apel/prośba,14,0,0
to project,prognozować/przewidywać/wyświetlać,12,2,1
a project,projekt,14,0,0
to import,importować,14,0,0
import,import,14,0,0
to present,podarować/przedstawić/prezentować,12,3,1
a present,prezent,14,0,0
to reject,odrzucić,20,1,0
a reject,wybrakowany towar/wyrzutek społeczny,12,5,0
to desert,porzucić/opuścić,14,0,0
a desert,pustynia,14,0,0
to suspect,podejrzewać,14,0,0
a suspect,podejrzany,12,4,0
to research,badać/przeprowadzać badania,12,2,1
research,badanie,14,0,0
to produce,produkować/wytwarzać,12,5,0
produce,produkcja/płody rolne,15,2,0
surveillance,nadzór/obserwacja,12,4,0
to survey,nadzorować/badać,14,0,0
a phone camera,aparat w telefonie,14,0,0
a speed camera,radar,12,4,0
CCTV,telewizja przemysłowa,14,0,0
a microchip,mikroczip,14,0,0
street level cameras,monitoring sieci miejskiej,15,1,0
a number plate,tablica rejestracyjna,14,0,0
number plate recognition,system rozpoznawania tablic rejestracyjnych,14,0,0
an invasion of privacy,naruszenie prywatności,15,1,0
a law-abiding citizen,praworządny obywatel,14,0,0
to obey the law,przestrzegać prawa,14,0,0
a deterrent to crime,czynnik odstraszający od popełnienia przestępstwa,14,0,0
accountable for,odpowiedzialny za,14,0,0
to monitor,kontrolować/monitorować,14,0,0
to log,rejestrować/zapisywać,11,2,1
to hand sth over to sb,przekazać coś komuś,14,0,0
to keep track of,śledzić/obserwować,15,1,0
surveillance society,społeczeństwo kontrolowane,14,0,0
a stretch of road,odcinek drogi,14,0,0
to double,podwoić,14,0,0
to be logged,zostać zapisanym,12,4,1
to get away with sth,ujść na sucho/wywinąć się,12,3,1
statistics show,statystyki pokazują,14,0,0
plain-looking,mało urodziwy,14,0,0
to be fined,dostać grzywnę,12,3,1
to ban,zakazać,15,1,0
a ban,zakaz,14,0,0
to lead to,doprowadzić do,14,0,0
to frown,marszczyć brwi,14,0,0
an injection,zastrzyk,14,0,0
to have copyright on sth,mieć do czegoś prawa autorskie,14,0,0
to lose out,być w gorszej sytuacji/być stratnym,15,1,0
to cut sth down,ograniczyć coś,14,0,0
to be bound to do sth,z pewnością/na pewno coś zrobić,15,1,0
on balance,zważywszy wszystko,14,0,0
clogged up,zatkany/zapchany,11,2,0
take the case of,weź przykład,12,4,1
such as,taki jak,14,0,0
it's a well-known fact that,to znany fakt,15,1,0
like,takie jak,14,0,0
it's been shown that,"pokazano, że",14,0,0
according to,według/zgodnie z,12,4,0
for instance,na przykład,14,0,0
disturbing,niepokojący/poruszający,11,2,1
illegal,nielegalny,14,0,0
inoffensive,neutralny/nieobraźliwy,12,2,1
sensible,rozsądny/rozważny,11,1,1
wealthy,bogaty/zamożny,14,0,0
to recognise,rozpoznać/uznać,12,3,1
a failure,porażka/nieopwodzenie,12,2,1
an instalment,odcinek,15,2,0
work-and-buy ethic,konsumpcjonizm,12,2,1
to rethink,przemyśleć/zastanowić się,14,0,0
a rat race,wyścig szczurów,14,0,0
a designer label,metka znanego projektanta,12,2,1
a gift-wrapped box,ozdobnie zapakowane pudełko,15,1,0
to diminish,zmniejszyć się,14,0,0
riches,bogactwo,14,0,0
to be stuck on a treadmill,być w kieracie,12,2,1
to be suspect,być podejrzanym,14,0,0
an assumption,założenie,14,0,0
filled with sth,wypełniony czymś,14,0,0
to contribute to,przyczyniać się do,14,0,0
companionship,towarzystwo,14,0,0
suitable for,odpowiedni dla,14,0,0
compliment,komplement,14,0,0
get on with something,radzić sobie z czymś,14,0,0
put something off,odłożyć coś na później,14,0,0
exhilaration,euforia,14,0,0
pay attention to,zwrócić uwagę na,14,0,0
carefully,starannie,14,0,0
look after someone,opiekować się kimś,14,0,0
turn round,obrócić,12,3,1
pretend,udawać,14,0,0
unplug,wyłączyć z sieci,12,4,1
deep,głęboki,20,0,1
talkative,gadatliwy,14,0,0
blow one's nose,smarkać,12,4,0
meaningless,bezsensowny,14,0,0
free up,zwolnić kogoś/udostępnić coś,12,3,1
digital,cyfrowy,14,0,0
shopping trolley,wózek na zakupy,15,1,0
reflect,odzwierciedlać,12,2,1
wasteful,nieekonomiczny,15,1,0
furthermore,ponadto,14,0,0
conclude,zawrzeć,12,4,1
as opposed to,w przeciwieństwie do,14,0,0
to sum up,podsumowując,14,0,0
flop,opadać,14,0,0
a cruise,rejs,14,0,0
a battlefield,pole bitwy,14,0,0
message board,tablica ogłoszeniowa,14,0,0
densely populated,gęsto zaludniony,14,0,0
proximity,bliskość,14,0,0
half-way,połowiczny,15,1,0
unspoilt,zachowany w naturalnym stanie,12,5,0
a slope,nachylenie,12,2,1
barren,jałowy,14,0,0
prediction,przepowiednia,14,0,0
timetable,rozkład zajęć,15,1,0
contestant,zawodnik,27,9,1
deal out,rozdać coś,14,0,0
a sieve,sito,14,0,0
roll,wałkować/zawijać,15,2,0
sprinkle,sypać,14,0,0
auburn fur,kasztanowe futro,15,1,0
hopeless,beznadziejny,12,2,1
pointless,bezsensowny,14,0,0
to be curious,być ciekawym czegoś,14,0,0
starfish,rozgwiazda,12,2,1
pass away,umrzeć,12,5,0
deserted,opustoszały,14,0,0
to stroll,przechadzać się,14,0,0
stranded,opuszczony/zdany na własne siły,12,4,0
low,przygnębiony,12,3,1
on the road to,na drodze do,14,0,0
futile,daremny,14,0,0
intrigued,zaintrygowany,14,0,0
owing to,z powodu,15,1,0
Every cloud,has a silver lining.,14,0,0
Every cloud has a silver lining.,"Nie ma tego złego, co by na dobre nie wyszło.",14,0,0
What goes around,comes around.,12,2,1
What goes around comes around.,"Jak ty komu, tak on tobie.",14,0,0
Where there's smoke,there's fire.,14,0,0
Where there's smoke there's fire.,Nie ma dymu bez ognia.,14,0,0
"Once bitten,",twice shy.,14,0,0
Once bitten twice shy.,Kto raz się sparzył na zimne dmucha.,14,0,0
When in Rome,do as the Romans do.,14,0,0
When in Rome do as the Romans do.,"Kiedy wejdziesz między wrony, kracz jak one.",14,0,0
Let's cross that bridge,when we come to it.,15,1,0
Let's cross that brigde when we come to it.,Nie martwmy się na zapas.,14,0,0
Where there's life,there's hope.,14,0,0
Where there's life there's hope.,"Póki życia, póty nadziei.",15,1,0
"Nothing ventured,",nothing gained.,14,0,0
Nothing ventured nothing gained.,"Kto nie ryzykuje, ten nie jedzie.",14,0,0
hopefully,z nadzieją,14,0,0
naturally,naturalnie,14,0,0
eventually,ostatecznie/w końcu,12,3,0
stupidly,głupio,14,0,0
finally,w końcu/nareszcie,12,4,0
dejectedly,ponuro/z przygnębieniem,12,2,1
fortunately,na szczęście,14,0,0
unsurprisingly,oczywiście/jak można się było spodziewać,12,2,1
to creep,skradać się/zakradać się,12,3,1
to march,maszerować/demonstrować,15,2,0
to wander,wędrować/włóczyć się,12,5,0
to tiptoe,chodzić na paluszkach,15,1,0
to limp,kuleć/utykać,15,2,0
to stagger,iść chwiejnym krokiem/zataczać się,12,4,1
to slide,ślizgać się,14,0,0
to wade,brodzić/brnąć,15,1,0
to crawl,czołgać się/raczkować,15,2,0
to have second thoughts,mieć wątpliwości,14,0,0
to be gutted,być załamanym/zrozpaczonym,12,3,1
with hindsight,z perspektywy czasu,12,2,1
to kick yourself,pluć sobie w brodę,14,0,0
it's a pity,szkoda,12,4,0
a missed opportunity,niewykorzystana szansa,14,0,0
to turn up,pojawić się,14,0,0
to give up,przestać coś robić/rzucić coś,12,4,0
to take up (a hobby),zacząć uprawiać (sport/nowe hobby),15,1,0
to settle down,ustatkować się,14,0,0
to set up,założyć,14,0,0
to run out,skończyć się,14,0,0
time is running out,kończy się czas,14,0,0
to grow up,dorastać,12,3,1
to be brought up,być wychowywanym,14,0,0
to go on to do sth,przejść do kolejnej sprawy/następnie zacząć,14,0,0
to be taken on,zostać zatrudnionym,12,2,1
to put sb off,zniechęcić/odstręczyć,14,0,0
to take to sth,polubić coś,12,2,1
to turn down,odrzucić,12,2,1
to step down from,ustąpić ze stanowiska/zrezygnować,12,4,1
to go by,upływać (czas)/mijać,14,0,0
to get over sth,dojść do siebie/otrząsnąć się z czegoś,11,1,1
a manual,instrukcja obsługi,14,0,0
a novel,powieść,14,0,0
a blog,blog,14,0,0
lyrics,słowa/tekst piosenki,14,0,0
a gossip magazine,magazyn plotkarski,12,3,1
manga,komiks typu manga,15,1,0
a biography,biografia,14,0,0
an autobiography,autobiografia,14,0,0
an e-book,ebook,14,0,0
an online encyclopedia,encyklopedia internetowa,14,0,0
a website forum,forum internetowe,15,1,0
I'm a big fan of,jestem fanem / bardzo lubię ...,14,0,0
I'm very keen on,bardzo lubię,12,3,1
I'm really into,jestem pasjonatem,14,0,0
What I like about it is,co mi się w tym podoba to,14,0,0
The thing I like about it most is that,to co najbardziej mi się w tym podoba to,14,0,0
I can't stand,nie mogę znieść,14,0,0
a peasant,chłop/chłopka,12,5,0
a dairymaid,mleczarka/dojarka,14,0,0
a clergyman,duchowny/pastor,14,0,0
to burst,wybuchnąć,11,1,1
a riverbank,brzeg rzeki,14,0,0
to undergo (a crisis/an operation),przechodzić/poddać się czemuś/mieć coś za sobą,12,4,1
gossamer,pajęczynka/babie lato/cieniuteńki,12,3,1
a billow,kłąb dymu/obłok/chmurka,12,4,0
pleased,zadowolony,15,1,0
expectant,wyczekujący,14,0,0
agitated,wzburzony/poruszony/podniecony,12,4,1
contented,zadowolony/ukontentowany,12,4,0
carefree,beztroski,15,1,0
weapon,broń,14,0,0
alternative fuel,paliwo alternatywne,14,0,0
adapt to,przystosować się do,14,0,0
adjust to,przystosować się do,15,1,0
harm,"szkodzić, krzywdzić",12,2,1
effect on,wpływ na,14,0,0
enable sb to do sth,umożliwić komuś zrobienie czegoś,14,0,0
transform,zmieniać,14,0,0
damage,szkodzić,14,0,0
revolutionise,zrewolucjonizować,14,0,0
brain tumour,guz mózgu,15,1,0
fossil fuel,paliwo kopalne,14,0,0
carbon footprint,ślad węglowy,14,0,0
devastating,"niszczycielski, druzgocący",14,0,0
to outvote,przegłosować,14,1,0
lawsuit,pozew sądowy,11,2,1
breakdown,rozpad,12,4,0
breakthrough,przełom,12,3,1
downside,"wada, zła strona",15,1,0
outcome,wynik,12,3,1
outlook,prognoza,12,2,1
trade-off,bilans,14,0,0
zip,suwak,14,0,0
Velcro,rzep,14,0,0
eco-friendly,ekologiczny,14,0,0
energy-efficient,energooszczędny,14,0,0
hand-held,podręczny,14,0,0
high-definition,w wysokiej rozdzielczości,14,0,0
long-life,o przedłużonej trwałości,14,0,0
pocket-sized,kieszonkowy,14,0,0
solar-powered,słoneczny,12,4,0
voice-activated,sterowany głosem,15,1,0
water-proof,wodoodporny,14,0,0
built-in,wbudowany,14,0,0
break into a market,wedrzeć się na rynek,14,0,0
launch a product,wprowadzić produkt,14,0,0
raise a price,podnieść cenę,14,0,0
set a price,wyznaczyć cenę,12,3,1
enter a market,wejść na rynek,15,1,0
advertise a product,reklamować product,14,0,0
increase a price,podnieść cenę,12,3,1
promote a product,promować produkt,14,0,0
endorse a product,lansować produkt,12,3,0
see a gap in a market,dostrzec niszę rynkową,14,0,0
reduce a price,obniżyć cenę,14,0,0
dominate a market,zdominować rynek,14,0,0
viral video,film wirusowy,15,1,0
to boom,"rosnąć, kwitnąć",12,4,0
brand,marka,14,0,0
cold call,akwizycja,11,3,0
commercial,reklama,12,3,1
trailer,zwiastun,12,2,1
slogan,hasło reklamowe,14,0,0
influence,wpływ,12,2,1
jingle,dżingiel,14,0,0
logo,logo,14,0,0
make of car,marka samochodu,14,0,0
pop-up,pop-up,14,0,0
campaign,kampania,14,0,0
place importance on,cenić,12,4,1
brand loyalty,lojalność konsumencka,14,0,0
practicality,praktyczność,15,1,0
brainstorming,burza mózgów,14,0,0
obvious,oczywisty,14,0,0
criticise,krytykować,14,0,0
unrealistic,nierealistyczny,14,0,0
come up with ideas,mieć pomysły,15,1,0
dreadful,koszmarny,14,0,0
spokesperson,rzecznik,14,0,0
give sth a go,spróbować czegoś,12,2,1
cardboard,karton,14,0,0
overpriced,zbyt drogi,15,1,0
over-hyped,przereklamowany,15,2,0
chorister,chórzysta,14,0,0
to correlate,pasować,12,4,0
to hook up,połączyć,12,5,0
of some sort,pewnego typu,14,0,0
once and for all,raz na zawsze,15,1,0
realise potential,realizować potencjał,14,0,0
The time of my life,Najlepszy okres w moim życiu,14,0,0
to look young for your age,wyglądać młodo jak na swój wiek,14,0,0
to be in your prime,być w kwiecie wieku,14,0,0
Act your age!,Zachowuj się stosownie do wieku!,14,0,0
to come of age,uzyskać pełnoletność,12,3,1
immature behaviour,niedojrzałe zachowanie,15,1,0
maturity,dojrzałość,12,3,0
age discrimination,dyskryminacja wiekowa,14,0,0
confident,pewny siebie,14,0,0
financial worries,problemy finansowe,14,0,0
